time,temperature_2m,relativehumidity_2m,surface_pressure,precipitation,cloudcover,direct_radiation,diffuse_radiation,windspeed_10m
00,15.8,63,1002.9,0.0,0,0.0,0.0,7.9
01,14.6,71,1003.0,0.0,0,0.0,0.0,6.3
02,13.4,77,1002.9,0.0,0,0.0,0.0,6.5
03,12.5,81,1002.9,0.0,5,0.0,0.0,6.5
04,11.8,85,1002.8,0.0,20,0.0,0.0,6.8
05,11.4,87,1002.8,0.0,25,0.0,5.0,6.2
06,12.6,87,1003.0,0.0,26,26.0,45.0,8.5
07,16.6,70,1003.3,0.0,23,101.0,91.0,6.8
08,19.2,59,1003.3,0.0,16,248.0,107.0,6.9
09,21.2,48,1003.3,0.0,9,404.0,116.0,8.2
10,22.4,43,1003.4,0.0,58,532.0,127.0,11.0
11,23.1,40,1003.4,0.0,50,381.0,239.0,11.0
12,23.6,37,1003.2,0.0,60,249.0,357.0,10.4
13,24.1,36,1002.6,0.0,60,262.0,319.0,8.2
14,24.4,35,1002.6,0.0,73,143.0,362.0,7.2
15,24.6,34,1002.4,0.0,88,140.0,318.0,6.8
16,24.7,34,1002.2,0.0,88,132.0,319.0,7.3
17,24.7,34,1001.8,0.0,74,147.0,215.0,7.3
18,24.5,34,1001.4,0.0,28,171.0,155.0,6.5
19,23.8,39,1001.1,0.0,21,139.0,81.0,4.0
20,21.9,49,1000.8,0.0,14,42.0,46.0,4.7
21,19.4,55,1001.0,0.0,3,2.0,7.0,5.0
22,19.6,52,1001.1,0.0,0,0.0,0.0,6.9
23,17.0,62,1001.0,0.0,1,0.0,0.0,7.6
00,15.2,70,1001.2,0.0,1,0.0,0.0,8.6
01,14.2,74,1001.2,0.0,1,0.0,0.0,7.9
02,13.6,77,1001.5,0.0,0,0.0,0.0,7.5
03,13.4,78,1001.2,0.0,2,0.0,0.0,7.2
04,13.4,76,1001.0,0.0,1,0.0,0.0,6.9
05,14.1,73,1000.9,0.0,2,1.0,4.0,6.0
06,15.9,66,1001.0,0.0,5,33.0,41.0,4.7
07,17.9,72,1001.2,0.0,5,126.0,76.0,2.9
08,21.3,47,1001.1,0.0,2,269.0,96.0,2.8
09,23.4,39,1001.2,0.0,3,403.0,116.0,2.9
10,24.4,39,1001.1,0.0,7,505.0,141.0,3.6
11,25.2,36,1001.0,0.0,44,495.0,175.0,7.3
12,25.5,35,1000.5,0.0,58,307.0,283.0,7.9
13,25.5,35,1000.2,0.0,53,158.0,302.0,8.3
14,25.7,35,999.8,0.0,58,167.0,309.0,8.6
15,25.9,35,1000.0,0.0,59,154.0,313.0,10.1
16,25.8,36,999.6,0.0,47,196.0,222.0,11.8
17,25.7,36,999.7,0.0,37,122.0,236.0,12.1
18,25.2,37,999.0,0.0,11,100.0,135.0,12.4
19,24.6,39,999.2,0.0,12,85.0,88.0,10.0
20,23.3,42,999.1,0.0,13,25.0,47.0,9.2
21,21.6,45,999.5,0.0,14,1.0,7.0,12.3
22,20.7,45,999.7,0.0,12,0.0,0.0,14.1
23,19.7,46,1000.1,0.0,11,0.0,0.0,13.1
00,18.7,48,999.9,0.0,5,0.0,0.0,11.2
01,17.7,50,999.9,0.0,2,0.0,0.0,10.0
02,16.7,53,999.9,0.0,2,0.0,0.0,7.7
03,15.5,59,999.8,0.0,1,0.0,0.0,7.2
04,14.5,64,1000.1,0.0,1,0.0,0.0,7.2
05,13.8,70,1000.1,0.0,0,1.0,4.0,8.1
06,14.8,71,1000.1,0.0,0,33.0,39.0,10.9
07,18.6,51,1000.4,0.0,0,131.0,75.0,10.4
08,21.1,41,1000.5,0.0,0,280.0,93.0,11.6
09,22.9,34,1000.4,0.0,0,422.0,111.0,12.4
10,23.7,36,1000.5,0.0,0,541.0,127.0,11.5
11,24.6,32,1000.1,0.0,0,645.0,136.0,11.3
12,25.5,29,1000.1,0.0,0,715.0,141.0,11.3
13,26.1,28,999.6,0.0,0,729.0,147.0,11.5
14,26.7,26,999.6,0.0,0,719.0,145.0,10.5
15,27.1,26,999.3,0.0,0,664.0,134.0,9.4
16,27.2,26,999.0,0.0,0,567.0,125.0,9.5
17,27.2,26,998.9,0.0,0,436.0,114.0,9.9
18,26.8,26,998.5,0.0,0,293.0,98.0,11.0
19,26.0,29,998.8,0.0,0,155.0,77.0,9.7
20,24.1,32,998.7,0.0,0,48.0,45.0,8.2
21,22.1,37,999.0,0.0,0,2.0,8.0,10.3
22,20.8,39,999.1,0.0,0,0.0,0.0,11.2
23,19.8,43,999.5,0.0,0,0.0,0.0,11.4
00,18.8,47,999.7,0.0,0,0.0,0.0,10.5
01,17.9,52,1000.3,0.0,0,0.0,0.0,9.9
02,16.9,57,1000.4,0.0,0,0.0,0.0,8.5
03,15.8,62,1000.6,0.0,0,0.0,0.0,7.2
04,14.7,69,1001.3,0.0,0,0.0,0.0,7.3
05,13.8,76,1001.1,0.0,0,1.0,4.0,6.4
06,15.0,76,1001.3,0.0,0,37.0,40.0,8.0
07,19.1,57,1001.5,0.0,0,138.0,73.0,6.2
08,22.1,45,1002.0,0.0,0,274.0,96.0,6.1
09,24.6,35,1002.0,0.0,0,417.0,113.0,7.5
10,25.6,32,1001.9,0.0,0,543.0,126.0,10.6
11,26.5,29,1001.9,0.0,0,647.0,135.0,10.5
12,27.3,28,1001.8,0.0,0,715.0,140.0,9.7
13,28.0,26,1002.0,0.0,0,740.0,142.0,7.6
14,28.6,25,1001.4,0.0,0,721.0,141.0,8.0
15,28.9,24,1001.5,0.0,0,660.0,135.0,7.7
16,29.1,23,1000.8,0.0,0,561.0,127.0,7.7
17,29.0,23,1000.5,0.0,0,435.0,115.0,8.2
18,28.6,24,1000.5,0.0,0,294.0,98.0,9.7
19,27.7,28,1000.5,0.0,0,156.0,76.0,8.9
20,25.6,33,1000.4,0.0,0,48.0,46.0,6.9
21,23.3,35,1001.0,0.0,0,2.0,8.0,8.4
22,21.7,40,1001.3,0.0,0,0.0,0.0,8.9
23,20.4,44,1001.5,0.0,0,0.0,0.0,9.1
00,19.2,49,1001.3,0.0,0,0.0,0.0,8.4
01,17.9,56,1001.7,0.0,0,0.0,0.0,7.3
02,16.8,62,1001.8,0.0,0,0.0,0.0,8.9
03,16.3,63,1001.5,0.0,0,0.0,0.0,7.8
04,16.0,65,1001.8,0.0,0,0.0,0.0,6.5
05,15.6,69,1001.7,0.0,0,1.0,5.0,6.1
06,17.5,63,1001.7,0.0,0,37.0,40.0,4.6
07,20.3,66,1001.9,0.0,0,137.0,73.0,2.1
08,24.2,39,1002.3,0.0,0,272.0,95.0,1.8
09,26.5,32,1002.4,0.0,0,410.0,113.0,2.5
10,27.7,32,1002.4,0.0,0,535.0,126.0,3.0
11,28.6,28,1002.3,0.0,0,642.0,133.0,3.1
12,29.3,27,1001.9,0.0,0,702.0,138.0,3.5
13,30.0,26,1001.2,0.0,1,738.0,141.0,3.0
14,30.6,25,1001.2,0.0,14,690.0,146.0,3.6
15,31.0,24,1000.8,0.0,12,614.0,141.0,4.3
16,31.0,24,1000.2,0.0,21,370.0,183.0,4.8
17,30.5,26,999.5,0.0,7,198.0,164.0,5.3
18,29.6,29,999.3,0.0,22,163.0,124.0,7.1
19,28.4,35,999.1,0.0,6,145.0,75.0,10.8
20,26.8,42,999.1,0.0,20,42.0,44.0,13.6
21,25.1,48,999.9,0.0,10,2.0,8.0,15.3
22,24.5,49,1000.3,0.0,14,0.0,0.0,15.0
23,23.6,54,1000.3,0.0,23,0.0,0.0,12.7
00,22.5,60,999.7,0.0,26,0.0,0.0,10.0
01,21.5,66,999.7,0.0,20,0.0,0.0,5.6
02,20.6,71,999.0,0.0,22,0.0,0.0,6.9
03,19.7,77,999.2,0.0,16,0.0,0.0,7.7
04,18.9,82,998.9,0.0,14,0.0,0.0,7.4
05,18.4,86,998.6,0.0,19,1.0,4.0,7.4
06,19.3,85,998.7,0.0,19,28.0,37.0,8.9
07,22.1,70,998.6,0.0,20,104.0,75.0,7.9
08,24.2,60,998.6,0.0,25,214.0,99.0,8.0
09,26.0,52,998.7,0.0,28,261.0,158.0,8.3
10,27.2,49,998.2,0.0,23,370.0,155.0,8.9
11,28.2,45,998.0,0.1,15,453.0,202.0,9.7
12,29.0,42,997.8,0.1,21,584.0,178.0,9.4
13,29.8,39,997.8,0.1,61,617.0,189.0,9.5
14,30.0,37,996.7,0.1,16,475.0,247.0,9.0
15,30.1,36,996.2,0.1,32,462.0,172.0,10.0
16,30.0,35,997.0,0.1,44,330.0,199.0,16.9
17,28.9,37,997.4,0.0,42,205.0,139.0,4.5
18,24.4,59,997.5,1.9,58,53.0,111.0,11.6
19,22.0,77,997.0,0.9,49,26.0,85.0,6.5
20,21.3,79,996.8,0.0,43,5.0,42.0,6.1
21,20.8,80,996.9,0.0,49,1.0,7.0,5.9
22,20.6,85,997.3,0.0,37,0.0,0.0,5.8
23,19.9,88,997.0,0.0,12,0.0,0.0,5.2
00,19.2,91,997.1,0.0,7,0.0,0.0,5.8
01,18.5,94,997.4,0.0,8,0.0,0.0,6.6
02,18.1,94,997.5,0.0,9,0.0,0.0,7.5
03,17.8,95,997.5,0.0,16,0.0,0.0,7.5
04,17.6,95,997.6,0.3,22,0.0,0.0,6.9
05,17.5,96,997.9,0.8,43,0.0,4.0,6.2
06,17.9,95,997.7,0.2,35,21.0,35.0,6.3
07,19.2,90,998.1,0.0,23,70.0,68.0,5.4
08,20.8,82,997.9,0.0,20,177.0,94.0,4.1
09,22.8,71,997.9,0.0,15,342.0,117.0,2.4
10,23.9,63,997.9,0.0,6,456.0,135.0,3.6
11,25.2,58,997.8,0.0,29,571.0,144.0,4.0
12,25.9,56,997.7,0.0,14,472.0,214.0,3.5
13,26.6,55,997.6,0.0,30,593.0,164.0,1.8
14,26.9,54,996.7,0.0,52,515.0,169.0,2.3
15,26.9,52,996.9,0.0,40,332.0,215.0,2.5
16,26.9,50,996.5,0.0,48,297.0,172.0,4.1
17,26.6,50,996.1,0.0,43,262.0,132.0,6.0
18,25.2,55,995.8,0.3,45,173.0,106.0,7.2
19,24.6,56,996.3,0.2,43,64.0,75.0,6.5
20,23.9,62,996.4,0.0,35,17.0,31.0,5.8
21,22.7,70,996.8,0.0,21,2.0,5.0,5.9
22,21.2,72,996.7,0.0,16,0.0,0.0,5.7
23,20.1,78,996.7,0.0,11,0.0,0.0,6.9
00,19.3,80,996.7,0.0,10,0.0,0.0,8.3
01,19.3,79,997.2,0.0,3,0.0,0.0,5.8
02,18.7,82,996.7,0.0,1,0.0,0.0,5.4
03,17.7,86,996.6,0.0,3,0.0,0.0,6.8
04,17.0,89,997.0,0.0,2,0.0,0.0,6.1
05,16.6,90,997.0,0.0,2,1.0,4.0,5.7
06,18.2,87,996.8,0.0,4,31.0,39.0,7.8
07,21.1,73,997.2,0.0,5,112.0,72.0,6.2
08,23.1,64,996.9,0.0,11,224.0,99.0,6.0
09,25.0,56,996.8,0.0,6,371.0,114.0,7.0
10,25.8,53,996.7,0.0,6,511.0,130.0,8.0
11,27.2,47,996.5,0.0,23,599.0,139.0,9.4
12,28.1,43,996.6,0.0,37,658.0,137.0,10.7
13,28.2,42,996.7,0.0,32,345.0,213.0,9.3
14,28.2,43,995.9,0.0,43,258.0,227.0,9.3
15,28.6,41,995.7,0.0,27,380.0,203.0,8.9
16,28.8,41,995.5,0.0,26,304.0,173.0,9.2
17,28.9,39,995.1,0.0,22,298.0,136.0,9.2
18,28.0,39,994.6,0.0,29,148.0,106.0,9.8
19,26.8,43,995.8,0.0,60,69.0,85.0,8.3
20,24.7,54,996.4,0.0,53,20.0,35.0,1.5
21,23.2,59,997.1,0.0,51,1.0,6.0,3.3
22,21.7,70,997.6,0.0,53,0.0,0.0,10.6
23,20.6,73,998.1,0.0,59,0.0,0.0,17.1
00,19.6,75,998.4,0.0,66,0.0,0.0,17.7
01,18.6,75,999.0,0.0,100,0.0,0.0,18.9
02,17.6,73,999.2,0.1,100,0.0,0.0,17.5
03,16.9,73,999.7,0.6,100,0.0,0.0,15.4
04,16.0,77,1000.0,0.7,100,0.0,0.0,13.8
05,15.6,79,1000.1,0.5,100,0.0,3.0,12.4
06,15.6,79,1000.6,0.3,100,0.0,17.0,11.2
07,15.9,79,1000.7,0.2,100,8.0,55.0,10.9
08,16.3,76,1001.1,0.2,100,12.0,99.0,11.5
09,16.8,72,1001.1,0.1,75,8.0,121.0,13.0
10,18.3,61,1001.4,0.0,56,222.0,183.0,13.4
11,19.2,54,1001.3,0.0,42,245.0,193.0,12.0
12,20.4,46,1001.3,0.0,21,441.0,147.0,11.2
13,21.5,40,1001.4,0.0,54,503.0,165.0,7.3
14,22.3,36,1001.0,0.0,49,457.0,189.0,7.4
15,22.9,33,1001.0,0.0,53,468.0,149.0,8.8
16,23.4,31,1000.2,0.0,46,386.0,191.0,10.5
17,23.4,30,1000.0,0.0,54,226.0,200.0,13.2
18,22.7,31,1000.4,0.0,60,145.0,130.0,16.2
19,21.5,36,1000.9,0.0,47,37.0,87.0,18.1
20,20.3,40,1001.2,0.0,44,24.0,42.0,16.7
21,19.3,43,1001.6,0.0,27,2.0,8.0,13.4
22,18.8,45,1001.9,0.0,22,0.0,0.0,10.0
23,17.6,50,1002.2,0.0,25,0.0,0.0,8.0
00,16.8,54,1002.4,0.0,20,0.0,0.0,7.3
01,16.1,57,1002.1,0.0,13,0.0,0.0,6.9
02,15.2,61,1002.4,0.0,7,0.0,0.0,6.6
03,14.4,65,1002.2,0.0,4,0.0,0.0,7.1
04,13.6,69,1002.4,0.0,6,0.0,0.0,7.1
05,13.1,73,1002.6,0.0,23,1.0,5.0,7.7
06,14.0,74,1002.9,0.0,26,27.0,45.0,9.7
07,16.5,61,1003.4,0.0,21,109.0,88.0,9.2
08,18.3,54,1003.3,0.0,16,221.0,118.0,9.2
09,19.8,46,1003.2,0.0,31,386.0,129.0,10.5
10,20.0,46,1003.5,0.0,35,334.0,174.0,10.7
11,20.9,42,1003.5,0.0,26,446.0,164.0,10.4
12,21.4,40,1003.5,0.0,23,378.0,210.0,10.4
13,22.2,38,1003.0,0.0,26,506.0,215.0,7.5
14,22.8,37,1003.2,0.0,19,571.0,190.0,7.1
15,22.8,37,1003.4,0.0,15,404.0,182.0,8.9
16,22.9,36,1003.1,0.0,10,378.0,176.0,10.0
17,22.9,36,1003.1,0.0,40,320.0,146.0,11.0
18,22.5,37,1002.6,0.0,40,209.0,100.0,11.1
19,22.1,37,1002.9,0.0,39,142.0,75.0,9.5
20,21.3,41,1002.5,0.0,15,43.0,45.0,4.9
21,19.6,49,1002.9,0.0,5,3.0,8.0,9.5
22,18.0,60,1003.2,0.0,13,0.0,0.0,8.9
23,16.8,61,1003.1,0.0,16,0.0,0.0,8.9
00,16.0,64,1003.4,0.0,6,0.0,0.0,8.8
01,15.8,65,1003.3,0.0,6,0.0,0.0,7.4
02,15.9,65,1003.5,0.0,11,0.0,0.0,6.3
03,16.4,62,1003.4,0.0,8,0.0,0.0,4.5
04,16.1,65,1003.5,0.0,11,0.0,0.0,2.6
05,15.8,66,1003.1,0.0,15,1.0,4.0,2.6
06,16.0,68,1003.4,0.0,22,32.0,40.0,2.7
07,18.4,60,1003.6,0.0,20,119.0,74.0,1.1
08,21.0,46,1003.3,0.0,13,258.0,98.0,1.1
09,22.5,40,1003.4,0.0,12,390.0,120.0,3.0
10,22.8,43,1003.2,0.0,10,432.0,170.0,4.6
11,23.6,41,1002.7,0.0,16,532.0,158.0,5.9
12,24.3,39,1002.8,0.0,29,584.0,194.0,7.3
13,24.6,39,1002.9,0.0,26,463.0,212.0,7.3
14,25.0,39,1002.3,0.0,33,463.0,207.0,8.5
15,25.3,38,1002.1,0.0,37,456.0,213.0,8.7
16,25.1,37,1001.8,0.0,31,273.0,179.0,8.9
17,24.6,38,1001.7,0.0,31,187.0,117.0,8.7
18,23.9,39,1001.5,0.0,24,188.0,104.0,7.4
19,23.5,40,1001.3,0.0,27,66.0,86.0,4.9
20,22.5,55,1001.3,0.0,35,30.0,48.0,4.5
21,21.7,48,1001.6,0.0,39,2.0,8.0,5.8
22,18.6,66,1001.5,0.0,49,0.0,0.0,6.3
23,17.6,69,1001.2,0.0,45,0.0,0.0,5.4
00,17.0,70,1001.0,0.0,46,0.0,0.0,6.1
01,16.6,72,1001.1,0.0,49,0.0,0.0,7.0
02,15.8,76,1001.0,0.0,41,0.0,0.0,5.5
03,15.4,78,1000.6,0.0,47,0.0,0.0,6.0
04,15.2,80,1000.7,0.0,41,0.0,0.0,6.5
05,15.1,83,1000.3,0.0,47,0.0,4.0,5.4
06,16.0,82,1000.7,0.0,46,3.0,40.0,6.5
07,18.5,66,1000.5,0.0,56,32.0,101.0,6.6
08,20.8,55,1000.8,0.1,64,150.0,140.0,6.7
09,21.7,50,1001.0,0.0,47,209.0,175.0,4.5
10,23.3,45,1001.1,0.0,25,271.0,193.0,3.7
11,22.8,45,1000.9,0.7,41,375.0,202.0,7.6
12,22.8,50,1001.8,0.3,82,474.0,228.0,12.1
13,21.9,54,1001.8,0.6,69,297.0,246.0,9.5
14,21.8,52,1001.8,0.2,49,123.0,239.0,6.0
15,22.3,47,1001.4,0.0,48,130.0,252.0,5.9
16,22.7,46,1001.3,0.2,34,239.0,212.0,5.6
17,23.1,44,1000.9,0.0,38,171.0,186.0,4.4
18,23.1,43,1001.0,0.0,38,170.0,132.0,2.8
19,22.8,45,1001.0,0.0,38,120.0,93.0,3.7
20,21.9,50,1001.3,0.0,24,38.0,47.0,3.3
21,20.3,61,1001.7,0.0,18,3.0,8.0,5.4
22,19.1,65,1001.9,0.0,7,0.0,0.0,4.3
23,18.9,64,1002.0,0.0,1,0.0,0.0,3.3
00,18.4,67,1002.1,0.0,2,0.0,0.0,3.6
01,16.8,75,1002.2,0.0,3,0.0,0.0,3.5
02,14.7,87,1002.4,0.0,2,0.0,0.0,6.0
03,14.0,90,1002.6,0.0,1,0.0,0.0,6.4
04,13.6,92,1002.8,0.0,1,0.0,0.0,5.8
05,13.5,92,1002.9,0.0,1,1.0,5.0,5.2
06,15.2,89,1003.2,0.0,1,31.0,41.0,4.7
07,18.2,77,1003.7,0.0,1,129.0,73.0,2.7
08,20.4,66,1003.9,0.0,2,258.0,97.0,1.8
09,22.0,56,1003.9,0.0,23,399.0,112.0,3.4
10,22.6,53,1003.9,0.0,32,397.0,149.0,4.4
11,23.4,48,1003.4,0.0,34,432.0,176.0,3.9
12,24.6,44,1003.5,0.0,60,530.0,165.0,7.1
13,25.6,40,1002.9,0.0,23,524.0,170.0,7.6
14,25.8,38,1002.9,0.0,41,136.0,311.0,9.3
15,26.1,37,1002.6,0.0,43,145.0,314.0,10.7
16,26.6,35,1002.3,0.0,22,338.0,199.0,11.8
17,26.6,35,1002.3,0.0,10,287.0,146.0,12.8
18,26.5,34,1002.2,0.0,2,257.0,114.0,13.5
19,26.0,36,1001.8,0.0,0,160.0,77.0,10.5
20,24.5,40,1001.7,0.0,0,51.0,47.0,6.9
21,22.7,45,1002.1,0.0,0,3.0,10.0,8.3
22,21.2,51,1002.3,0.0,0,0.0,0.0,9.0
23,19.7,57,1002.2,0.0,0,0.0,0.0,8.6
00,18.5,61,1002.0,0.0,0,0.0,0.0,8.4
01,17.8,63,1001.7,0.0,0,0.0,0.0,8.5
02,17.5,62,1001.5,0.0,0,0.0,0.0,9.5
03,17.2,62,1000.9,0.0,0,0.0,0.0,9.5
04,16.8,63,1001.2,0.0,0,0.0,0.0,9.0
05,16.5,66,1001.2,0.0,0,1.0,5.0,9.2
06,17.6,65,1001.2,0.0,0,36.0,39.0,11.6
07,20.6,53,1001.5,0.0,0,133.0,71.0,11.9
08,23.3,44,1001.3,0.0,0,265.0,94.0,14.2
09,25.2,38,1000.6,0.0,0,405.0,111.0,16.7
10,25.9,41,999.9,0.0,0,528.0,125.0,19.0
11,27.1,37,999.1,0.0,0,632.0,134.0,19.8
12,28.2,35,998.7,0.0,0,702.0,138.0,19.9
13,29.2,33,998.6,0.0,0,729.0,140.0,17.7
14,29.9,32,997.5,0.0,0,712.0,138.0,16.9
15,30.4,31,997.6,0.0,0,652.0,134.0,16.3
16,30.7,31,996.7,0.0,0,556.0,125.0,15.5
17,30.6,31,996.2,0.0,0,433.0,113.0,15.3
18,30.3,32,995.4,0.0,0,295.0,97.0,14.6
19,29.6,34,995.1,0.0,0,160.0,76.0,10.6
20,27.8,39,994.7,0.0,0,52.0,47.0,7.7
21,25.7,43,994.6,0.0,0,4.0,9.0,8.7
22,24.2,45,994.3,0.0,0,0.0,0.0,9.7
23,23.1,48,994.2,0.0,0,0.0,0.0,10.5
00,22.2,50,993.9,0.0,0,0.0,0.0,10.5
01,21.4,52,993.7,0.0,0,0.0,0.0,10.1
02,20.5,55,993.2,0.0,0,0.0,0.0,9.4
03,19.8,58,992.5,0.0,0,0.0,0.0,9.7
04,19.2,61,992.0,0.0,0,0.0,0.0,10.0
05,18.9,64,991.3,0.0,0,1.0,5.0,10.0
06,19.8,64,991.1,0.0,0,37.0,39.0,11.9
07,22.0,56,990.9,0.0,0,134.0,72.0,11.7
08,24.3,49,990.5,0.0,0,267.0,94.0,13.3
09,26.5,43,990.3,0.0,0,406.0,111.0,14.0
10,27.8,40,989.6,0.0,0,531.0,124.0,14.5
11,29.1,33,989.1,0.0,3,635.0,133.0,19.3
12,29.9,30,988.5,0.0,4,710.0,135.0,19.6
13,30.6,28,988.6,0.0,0,727.0,145.0,20.0
14,31.1,27,987.2,0.0,2,717.0,140.0,20.0
15,31.4,26,986.6,0.0,5,657.0,134.0,20.3
16,31.4,26,985.5,0.0,0,548.0,130.0,21.3
17,31.2,26,985.3,0.0,6,368.0,149.0,21.9
18,30.8,26,984.9,0.0,1,283.0,102.0,20.8
19,29.9,27,984.4,0.0,3,109.0,84.0,16.6
20,28.4,30,984.2,0.0,5,27.0,42.0,11.2
21,27.0,32,983.9,0.0,18,2.0,6.0,9.9
22,25.0,38,984.0,0.0,19,0.0,0.0,13.1
23,23.3,56,984.3,0.0,25,0.0,0.0,17.6
00,21.6,71,984.3,0.0,23,0.0,0.0,18.6
01,19.9,78,985.0,0.0,100,0.0,0.0,16.6
02,18.2,79,985.0,0.2,100,0.0,0.0,17.1
03,16.7,82,984.9,1.0,100,0.0,0.0,16.3
04,15.8,86,984.8,1.7,100,0.0,0.0,15.1
05,15.5,88,984.9,0.8,100,0.0,1.0,13.1
06,15.1,90,984.7,0.7,100,2.0,20.0,11.2
07,15.6,83,984.5,0.0,100,46.0,89.0,10.9
08,16.7,71,984.3,0.0,77,175.0,109.0,13.4
09,18.2,57,984.7,0.0,54,356.0,130.0,12.3
10,18.2,68,984.6,0.1,50,330.0,170.0,10.0
11,19.3,58,984.7,0.0,39,385.0,204.0,7.9
12,20.6,49,984.6,0.0,54,532.0,168.0,8.2
13,21.4,44,985.1,0.0,100,427.0,275.0,9.6
14,21.7,42,984.6,0.0,39,351.0,225.0,11.6
15,21.7,41,984.5,0.0,43,366.0,175.0,10.0
16,21.8,40,984.6,0.0,38,302.0,150.0,7.2
17,21.6,39,984.6,0.0,40,223.0,128.0,5.0
18,21.5,38,984.8,0.0,57,175.0,111.0,4.7
19,21.1,38,984.9,0.0,55,50.0,84.0,9.8
20,20.0,42,985.5,0.0,48,17.0,38.0,13.0
21,18.4,51,985.6,0.0,44,1.0,6.0,12.7
22,15.8,71,985.9,0.2,49,0.0,0.0,9.8
23,14.9,77,985.6,0.1,59,0.0,0.0,7.6
00,14.7,78,985.7,0.1,33,0.0,0.0,7.3
01,14.0,81,985.9,0.0,27,0.0,0.0,7.1
02,13.8,83,986.0,0.0,29,0.0,0.0,6.7
03,13.4,85,986.5,0.0,29,0.0,0.0,5.7
04,13.1,89,986.5,0.0,16,0.0,0.0,4.6
05,13.7,85,986.6,0.0,5,1.0,3.0,3.5
06,14.5,84,987.1,0.0,3,32.0,38.0,2.2
07,15.8,81,987.7,0.0,1,97.0,85.0,3.7
08,17.4,74,988.0,0.0,5,206.0,117.0,3.7
09,18.9,66,988.1,0.1,27,294.0,161.0,4.4
10,19.8,57,988.7,0.1,34,402.0,142.0,5.5
11,20.9,51,988.9,0.1,31,411.0,179.0,6.3
12,21.7,47,989.5,0.0,33,294.0,225.0,7.8
13,22.8,43,990.1,0.0,55,495.0,157.0,9.0
14,23.5,40,990.5,0.0,52,514.0,170.0,9.4
15,24.0,40,990.9,0.0,30,444.0,163.0,9.9
16,24.2,39,990.9,0.0,30,367.0,145.0,10.0
17,24.1,40,990.9,0.0,38,299.0,105.0,11.2
18,23.8,40,990.9,0.0,52,194.0,90.0,11.8
19,23.3,43,991.7,0.0,35,84.0,73.0,15.5
20,22.2,50,992.4,0.0,40,27.0,40.0,16.8
21,20.7,61,992.8,0.0,29,2.0,9.0,16.3
22,18.9,78,993.2,0.0,26,0.0,0.0,15.3
23,18.1,85,993.0,0.0,26,0.0,0.0,15.0
00,17.6,89,993.5,0.0,23,0.0,0.0,14.5
01,17.3,90,993.4,0.0,93,0.0,0.0,15.2
02,16.8,93,993.5,0.0,94,0.0,0.0,16.3
03,16.7,94,993.6,0.0,96,0.0,0.0,15.9
04,16.8,94,993.9,0.0,100,0.0,0.0,17.9
05,16.8,95,993.6,0.0,100,0.0,4.0,16.3
06,17.7,88,994.0,0.0,100,5.0,38.0,17.3
07,18.5,82,994.6,0.0,100,22.0,82.0,17.3
08,19.5,76,994.6,0.0,100,32.0,142.0,16.8
09,20.7,70,994.7,0.0,100,45.0,210.0,16.7
10,19.1,84,994.7,1.1,100,11.0,179.0,17.8
11,19.2,84,994.8,0.3,100,2.0,189.0,17.9
12,18.3,87,994.8,1.4,100,21.0,111.0,19.4
13,18.4,87,995.7,0.3,100,0.0,135.0,18.3
14,18.6,86,996.0,0.2,100,13.0,170.0,20.8
15,18.9,84,996.1,0.1,100,0.0,161.0,21.2
16,19.4,80,996.1,0.2,100,25.0,180.0,21.1
17,19.1,81,996.5,0.3,100,0.0,113.0,19.0
18,18.9,81,996.2,0.2,98,0.0,90.0,19.0
19,18.8,81,996.8,0.1,88,0.0,59.0,17.9
20,18.7,80,997.0,0.0,97,4.0,42.0,18.1
21,18.4,80,997.6,0.0,95,0.0,7.0,17.8
22,17.8,80,997.8,0.0,100,0.0,0.0,17.5
23,17.5,79,997.9,0.0,95,0.0,0.0,15.9
00,17.3,79,997.9,0.0,80,0.0,0.0,13.4
01,16.9,80,998.8,0.0,100,0.0,0.0,12.6
02,16.6,82,998.4,0.0,100,0.0,0.0,11.7
03,16.1,83,998.5,0.1,100,0.0,0.0,11.9
04,16.1,83,998.7,0.0,100,0.0,0.0,12.5
05,16.1,83,999.2,0.0,100,0.0,2.0,13.3
06,16.6,82,999.3,0.0,100,5.0,38.0,12.1
07,17.3,79,999.5,0.0,100,8.0,79.0,11.0
08,18.4,74,1000.1,0.0,82,29.0,126.0,13.0
09,19.7,68,1000.3,0.0,100,74.0,202.0,14.5
10,21.0,66,1000.3,0.0,78,171.0,205.0,15.9
11,22.1,61,1000.8,0.0,100,200.0,238.0,16.9
12,22.8,58,1000.6,0.0,100,220.0,224.0,16.3
13,23.6,55,1000.6,0.0,100,265.0,265.0,17.4
14,23.4,54,1000.6,0.0,92,104.0,204.0,16.5
15,24.5,49,1001.1,0.0,100,270.0,300.0,16.6
16,24.6,47,1000.9,0.0,100,224.0,223.0,17.7
17,24.4,47,1000.8,0.0,83,149.0,186.0,16.9
18,23.9,49,1000.9,0.0,74,108.0,135.0,17.6
19,23.3,52,1000.9,0.0,80,71.0,94.0,12.8
20,22.2,57,1001.2,0.0,77,15.0,45.0,9.0
21,21.0,62,1001.3,0.0,68,1.0,6.0,6.9
22,19.9,70,1001.5,0.0,62,0.0,0.0,5.1
23,19.2,71,1001.6,0.0,44,0.0,0.0,4.0
